archivo,resolucion,bytes,transparencia,pantalla_y_sitio,tamano_mostrado,original,prompt_exacto,sha256
imagenes/generated_images/exec-ff0c83e3-8303-42ef-9ceb-ace3a42226d9.png,1536×1024,1786755,No (RGB opaco),Inicio · fondo de Caso del día · original,100% ancho/alto de .daily-feature; cover; degradado CSS a la izquierda,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,135774518ac29871fe9bb8cf4ad5e1bf18777a1e106727f2d3dafd36fb926e0b
imagenes/assets/create-case-art.png,1254×1254,1711846,No (RGB opaco),"Inicio · tile Crear zanja, fondo amarillo · original",100% del tile; cover; centro 29%; dos columnas de ancho flexible,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,588aeffd5fbe0b447071d41720ab9bba8c2683e51ea61f012eace01dc7e7a950
imagenes/assets/daily-art.png,1536×1024,1786755,No (RGB opaco),Inicio · fondo de Caso del día · original,100% ancho/alto de .daily-feature; cover; degradado CSS a la izquierda,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,135774518ac29871fe9bb8cf4ad5e1bf18777a1e106727f2d3dafd36fb926e0b
imagenes/assets/my-cases-art.png,1254×1254,1776595,No (RGB opaco),Inicio · tile Mis zanjas · original,100% del tile; cover; centro 29%; dos columnas de ancho flexible,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,164fb2fde267d135b25bd941b059f37258982c47641976a067fc479883b37e3d
imagenes/assets/zanja-arena-hero.png,1536×1024,1927119,No (RGB opaco),"Inicio · imagen del Juzgado, bajo titular y encima del CTA · original","100% de .lobby-scene, alto flexible; object-fit:cover; centro 52%",,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c69701d75b424ecaf02424610d3336a99531b5ab345332efbd6920da7c534387
imagenes/menu-originals/arena.png,1536×1024,1927119,No (RGB opaco),"Inicio · imagen del Juzgado, bajo titular y encima del CTA · original","100% de .lobby-scene, alto flexible; object-fit:cover; centro 52%",,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c69701d75b424ecaf02424610d3336a99531b5ab345332efbd6920da7c534387
imagenes/menu-originals/create-case-art.webp,1254×1254,112078,No (RGB opaco),"Versión intermedia del menú; original conservado, usar public/ para app",Mismo tamaño de presentación del motivo correspondiente en el menú,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c75cbcd9b6168b1532641476bb1da62afef94d62737e630b1fc947c06a2f7f0f
imagenes/menu-originals/daily-art.webp,1536×1024,115310,No (RGB opaco),"Versión intermedia del menú; original conservado, usar public/ para app",Mismo tamaño de presentación del motivo correspondiente en el menú,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,45af7d23b859bc582326e315672d0213ad601f06ec01a7596b454dabd0ff9888
imagenes/menu-originals/my-cases-art.webp,1254×1254,130312,No (RGB opaco),"Versión intermedia del menú; original conservado, usar public/ para app",Mismo tamaño de presentación del motivo correspondiente en el menú,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,be2b5913a172a71e0dd427e5606fcbe8be1d062a6a336b07124afb4233ab20fb
imagenes/public/arena-menu.webp,768×512,32952,No (RGB opaco),"Inicio · imagen del Juzgado, bajo titular y encima del CTA","100% de .lobby-scene, alto flexible; object-fit:cover; centro 52%",assets/zanja-arena-hero.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,ae4d9a7426ca30fa13c8804743e75572369a08ab9db4da05a7a2d91f6fb7fefb
imagenes/public/court-energy.webp,640×427,16254,No (RGB opaco),VS · cabeceras A/B y Ambos; veredicto y creación · fondos,Cabeceras:100% ×62px (49px compacto); Ambos:100% ×68px (58px compacto). Cover; no miniatura cuadrada. En paneles cover adaptable.,generated_images/exec-23ea9961-0683-4bed-8105-cb0d43634c77.png,"Create one landscape seamless-feeling background asset for a polished casual mobile game UI. Generic abstract 3D illustrated energy stage, glossy violet faceted planes and sweeping soft purple light rays, sparse glowing particles. Deep dark purple left half with generous quiet negative space for separately rendered interface text, subtle brighter violet lighting on right. Colorful saturated high-quality mobile videogame aesthetic, beveled surfaces, soft bloom. Background only, no focal object. NO gloves, hands, people, weapons, trophy, badge, text, letters, numbers, logos or UI. 1536x1024. Save generated asset for application integration.",f12e57e96fec34391b6b7fe24d4f3a18d2c2dbfe993050f22a05c4e64b8bbf53
imagenes/public/create-case-menu.webp,480×480,21242,No (RGB opaco),"Inicio · tile Crear zanja, fondo amarillo",100% del tile; cover; centro 29%; dos columnas de ancho flexible,assets/create-case-art.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,6ce66d5404bcf5660db239ba1516556d6ef7286b4f1dfeec8670ba649fe9067a
imagenes/public/daily-menu.webp,768×512,29422,No (RGB opaco),Inicio · fondo de Caso del día,100% ancho/alto de .daily-feature; cover; degradado CSS a la izquierda,assets/daily-art.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,f659d8ea5c3e84375f089823b2379b3ebc9a581b645bbb0e5eae49e1e4460373
imagenes/public/duel-a.webp,384×256,19990,No (RGB opaco),"RETIRADA · guante A, no usar en VS",Antiguo:180×120px; no se muestra actualmente,generated_images/exec-0e6c2c45-d10e-4810-9e43-17ce830af304.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,f222dfce01acd0b57ccd2a90afa60598f98295eada07424b6e1308b8c2cfdb54
imagenes/public/duel-b.webp,384×256,18852,No (RGB opaco),"RETIRADA · guante B, no usar en VS",Antiguo:180×120px; no se muestra actualmente,generated_images/exec-aabd61c6-2b83-4320-8ed5-35ef9e805fbd.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,5d81bd97fd0e70b469328209f7639a4a20382a73b2246b9ea0fedffbbe6694d4
imagenes/public/duel-both.webp,384×256,16346,No (RGB opaco),"RETIRADA · guantes A+B, no usar en VS",Antiguo:170×113px; no se muestra actualmente,generated_images/exec-a0501da7-dcd2-4ead-8f28-340ac693fbf6.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,34c6d8a11340a138c6fa7385b99269bfdd24e1da9af7a314dd1ebd0f841cca62
imagenes/public/favicon.svg,vector,215,No,Icono navegador/metadata,Escalable; tamaño decidido por navegador,public/favicon.svg,No aplica: SVG escrito en código,a8e1fdc696d0dfaa3229d10513ff6384f1a8ff965cb246f69287a321261fb6d2
imagenes/public/my-cases-menu.webp,480×480,25202,No (RGB opaco),Inicio · tile Mis zanjas,100% del tile; cover; centro 29%; dos columnas de ancho flexible,assets/my-cases-art.png,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,f4602d6884eb905af57469fa1272024ad0118fa2df14aca2d7d2f2fb89fe0b6b
imagenes/public/prueba-diseno.webp,480×921,40956,No (RGB opaco),"Juzgado · prueba del caso editorial de diseño; imagen de muestra, no ilustración nueva",Miniatura60×66px; visor hasta720px de ancho con contain,../capturas-historicas/43952e56-0b27-441a-84de-89d4c0d0c84b.png,No aplica: conversión de captura aportada por el usuario,de5f05f15953dbf5a2152231fc1125e80ec902dfebcc4d7a7bc5644cb2698659
imagenes/iconos-lucide/ArrowLeft.svg,"Vector SVG 24×24, escalable",297,Sí: sin fondo,components/game/invite-response.tsx: <ArrowLeft size={21}/; components/game/create-zanja.tsx: <ArrowLeft size={21}/; components/game/court.tsx: <ArrowLeft size={22}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",95e1d9e191083671c651fcdf4ca855e48e8f300f1965139904bd5c4ffe6e9f0e
imagenes/iconos-lucide/ArrowRight.svg,"Vector SVG 24×24, escalable",297,Sí: sin fondo,"app/page.tsx: <ArrowRight className=""shortcut-arrow"" aria-hidden=""true""/, <ArrowRight className=""shortcut-arrow"" size={21}/, <ArrowRight className=""shortcut-arrow"" size={21}/, <ArrowRight size={17}/, <ArrowRight size={20}/, <ArrowRight size={17}/, <ArrowRight size={20}/; components/game/invite-response.tsx: <ArrowRight size={20}/, <ArrowRight size={20}/; components/game/create-zanja.tsx: <ArrowRight size={21}/, <ArrowRight size={20}/, <ArrowRight size={19}/, <ArrowRight size={21}/, <ArrowRight size={20}/; components/game/court.tsx: <ArrowRight size={18}/, <ArrowRight size={20}/; components/game/duel-board.tsx: <ArrowRight size={20}/, <ArrowRight size={21}/, <ArrowRight size={16}/, <ArrowRight size={16}/, <ArrowRight size={16}/; components/game/next-countdown.tsx: <ArrowRight size={20}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",ee3de97c6b7d8a4c0ee0f7af61acbd6b2683b61bba9e4c19c24d9be38657682a
imagenes/iconos-lucide/BookOpen.svg,"Vector SVG 24×24, escalable",421,Sí: sin fondo,components/game/court.tsx: <BookOpen size={18}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",eead724ce84d64e2c2d86feb02efb6d985906fd50fe106ff42c9f7ab04e12607
imagenes/iconos-lucide/Check.svg,"Vector SVG 24×24, escalable",267,Sí: sin fondo,"components/game/create-zanja.tsx: <Check size={20}/; components/game/court.tsx: <Check size={18}/, <Check size={13}/, <Check size={19}/; components/game/duel-board.tsx: <Check size={20}/, <Check size={21}/; components/game/creator-clash.tsx: <Check size={18}/, <Check size={18}/; components/game/defense-fields.tsx: <Check size={15} aria-label=""Longitud válida""/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",68869f040dbf6626527e6f0281bc79833ec00da937464d59a223a557fee2a1f9
imagenes/iconos-lucide/CheckCircle2.svg,"Vector SVG 24×24, escalable",312,Sí: sin fondo,app/page.tsx: <CheckCircle2 size={54}/; components/game/invite-response.tsx: <CheckCircle2 size={60}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",dedf58ab5062aa42d5d46d6b63e86655e28a4e4c8b8f1609d540dc98d7de720f
imagenes/iconos-lucide/ChevronRight.svg,"Vector SVG 24×24, escalable",273,Sí: sin fondo,app/page.tsx: <ChevronRight size={19}/; components/game/duel-board.tsx: <ChevronRight size={16}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",ecbe98eb057e16d1be561111b6940b3af2594196d6252ddc9507cf34b75df4ed
imagenes/iconos-lucide/Clock.svg,"Vector SVG 24×24, escalable",303,Sí: sin fondo,app/page.tsx: <Clock size={15}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",3e4ce3e78af6ab1c33f33acf954616fcd1861b2745c4bd9ae10f777d98b180a5
imagenes/iconos-lucide/Copy.svg,"Vector SVG 24×24, escalable",368,Sí: sin fondo,app/page.tsx: <Copy size={20}/; components/game/invite-response.tsx: <Copy size={18}/; components/game/create-zanja.tsx: <Copy size={18}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",105b192aa637086d6dc8e982a3279a6f82e6a084caa06bc458c8d77fb4b61171
imagenes/iconos-lucide/DoorClosed.svg,"Vector SVG 24×24, escalable",353,Sí: sin fondo,"components/game/create-zanja.tsx: <DoorClosed className=""case-door-closed"" size={66}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",ac27d106ab743ba8a746b5d531274903c1a35b5bc79fb55438bce5302c2fd3f6
imagenes/iconos-lucide/DoorOpen.svg,"Vector SVG 24×24, escalable",472,Sí: sin fondo,"components/game/create-zanja.tsx: <DoorOpen className=""case-door-open"" size={66}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",521e8a8fd08ace208d41d0330378fa91ff6f6e451710236d74820f2274e0221b
imagenes/iconos-lucide/Expand.svg,"Vector SVG 24×24, escalable",453,Sí: sin fondo,"components/game/duel-board.tsx: <Expand size={12}/; components/game/evidence.tsx: <Expand size={14}/, <Expand size={18}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",5d31e9bb01581f2be2bdaafd58b5bd4b472a4c4561e33933cd124ca0623ae214
imagenes/iconos-lucide/Flag.svg,"Vector SVG 24×24, escalable",397,Sí: sin fondo,app/page.tsx: <Flag size={18}/; components/game/court.tsx: <Flag size={19}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",e56c12b7b5d1ad98e69dae94554714dd2c8e37d104719ab79effb66fb10b7ba3
imagenes/iconos-lucide/Flame.svg,"Vector SVG 24×24, escalable",342,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",c63ffa731882eb4ef0e7cdf8a7a406482cc825b238e39c3c1b50000317d4c6af
imagenes/iconos-lucide/Gavel.svg,"Vector SVG 24×24, escalable",415,Sí: sin fondo,"app/page.tsx: <Gavel size={24}/, <Gavel/; components/game/court.tsx: <Gavel size={48}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",5f9dcdbd836eab3994ac9be70923e0d051c1d49ebfe367bb5dd3bb3a00f88277
imagenes/iconos-lucide/Globe.svg,"Vector SVG 24×24, escalable",365,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",03795addd28af6a08543c0eb3e2b26b308a0da9500eca4b586aaa5a67c1d1505
imagenes/iconos-lucide/HeartHandshake.svg,"Vector SVG 24×24, escalable",601,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",1ad540b1e71c8c214b40aecaf655eb4cdff06561c6f0fc87ae934f3ae74d3e9b
imagenes/iconos-lucide/Home.svg,"Vector SVG 24×24, escalable",413,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",ec87d27405499ae8bf0c58f6aafee7b6c7b8b12415984ac50230910f4f4cdefc
imagenes/iconos-lucide/ImageIcon.svg,"Vector SVG 24×24, escalable",392,Sí: sin fondo,"components/game/evidence.tsx: <ImageIcon size={17}/, <ImageIcon size={16}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",52fbc73d73e9dedc03f8d7aef7c26ea4a0061fe4642b99ca7f238988ab828bac
imagenes/iconos-lucide/ImagePlus.svg,"Vector SVG 24×24, escalable",464,Sí: sin fondo,components/game/evidence.tsx: <ImagePlus size={24}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",6951b25b3d3a72e1910b1c55195dec2572f51cc4f6174e50f81e2e17878f3bc7
imagenes/iconos-lucide/Layers.svg,"Vector SVG 24×24, escalable",543,Sí: sin fondo,"app/page.tsx: <Layers size={44}/, <Layers/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",7cfd88034de1965ed0208bde9d42f66086a365bd1c4f1946a51224b015a61820
imagenes/iconos-lucide/Link2.svg,"Vector SVG 24×24, escalable",376,Sí: sin fondo,app/page.tsx: <Link2 size={16}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",3fdaa0be877b4f5a5a2e3a2040b7f869d199ffa79b2032e3ff6fff6e7b015563
imagenes/iconos-lucide/LoaderCircle.svg,"Vector SVG 24×24, escalable",287,Sí: sin fondo,"app/page.tsx: <LoaderCircle size={15} className=""spin""/; components/game/invite-response.tsx: <LoaderCircle className=""spin""/, <LoaderCircle className=""spin""/; components/game/create-zanja.tsx: <LoaderCircle className=""spin""/; components/game/duel-board.tsx: <LoaderCircle size={20} className=""spin""/, <LoaderCircle size={21} className=""spin""/; components/game/evidence.tsx: <LoaderCircle className=""spin evidence-spinner"" aria-label=""Cargando imagen""/, <LoaderCircle className=""spin"" size={24}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",c30ab038c652949e87002386511f4efc2162e17e558e3b28ee81c88d9f6b136f
imagenes/iconos-lucide/LockKeyhole.svg,"Vector SVG 24×24, escalable",378,Sí: sin fondo,app/page.tsx: <LockKeyhole size={12}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",493a9abfdd2340bf2b8bc314040604b84fd96619f8cc05f4643c5fcd27e6c2c7
imagenes/iconos-lucide/Pause.svg,"Vector SVG 24×24, escalable",343,Sí: sin fondo,components/game/next-countdown.tsx: <Pause size={16}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",75e896c2f91f8f33ec022428c97508e5372a01786b1bc214f55b7229b5f9a2a1
imagenes/iconos-lucide/Play.svg,"Vector SVG 24×24, escalable",333,Sí: sin fondo,components/game/next-countdown.tsx: <Play size={16}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",bf924d1738836873d3a135c56024ca89a36c35813f6966b26a6ea0a58c6e5307
imagenes/iconos-lucide/Plus.svg,"Vector SVG 24×24, escalable",285,Sí: sin fondo,"app/page.tsx: <Plus size={19}/, <Plus size={28}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",b208fd73aa48c54364eb6eaaa9c389de4de22759717542cb0a08172afad33980
imagenes/iconos-lucide/RotateCcw.svg,"Vector SVG 24×24, escalable",332,Sí: sin fondo,app/page.tsx: <RotateCcw size={15}/; components/game/court.tsx: <RotateCcw size={19}/; components/game/evidence.tsx: <RotateCcw size={18}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",e4283608f8d893bae2ccce68873e68cbb64fc9e8edc6698a2cf4afa8004a6daa
imagenes/iconos-lucide/Send.svg,"Vector SVG 24×24, escalable",422,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",d2d20c09863bdfc7bfde6109668ea6f421fa95a982a0a7884dffe405206f27bd
imagenes/iconos-lucide/Settings2.svg,"Vector SVG 24×24, escalable",384,Sí: sin fondo,app/page.tsx: <Settings2 size={18}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",b4bd89f0843077d0ec9104a8abb3219935f8438bc64c9a9a330fa72033859158
imagenes/iconos-lucide/Share2.svg,"Vector SVG 24×24, escalable",476,Sí: sin fondo,"components/game/create-zanja.tsx: <Share2 size={18}/, <Share2 size={19}/; components/game/court.tsx: <Share2 size={18}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",55abe82e7b2d5fc28fe7bf89cf18c66c40266e0442915db3fbbb9793296e26cb
imagenes/iconos-lucide/ShieldCheck.svg,"Vector SVG 24×24, escalable",452,Sí: sin fondo,"app/page.tsx: <ShieldCheck size={62}/, <ShieldCheck/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",c1f5d4e7357d603081eae6a548864a82c7b8ec03632d81427d4109b02a4d005e
imagenes/iconos-lucide/SlidersHorizontal.svg,"Vector SVG 24×24, escalable",479,Sí: sin fondo,components/game/court.tsx: <SlidersHorizontal size={21}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",dd2710aef2f0abd5d4f505396c79c917fabd1d09d44826fef3847e1fbd77e125
imagenes/iconos-lucide/Sparkles.svg,"Vector SVG 24×24, escalable",606,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",bc330897940133f862027749d6edb79ffbff47233a62f21222646e46a4418573
imagenes/iconos-lucide/Star.svg,"Vector SVG 24×24, escalable",615,Sí: sin fondo,"app/page.tsx: <Star fill=""currentColor"" size={18}/",Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",f5eb5ec795d2e6ce89cb893cc5daf9d36fdb05a4ff2e00c1adb151ece13ebf81
imagenes/iconos-lucide/Swords.svg,"Vector SVG 24×24, escalable",624,Sí: sin fondo,app/page.tsx: <Swords size={20}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",4c6359d2cf4a76c8e4ca73794637f7d49abc92547e7e4163dafe59bc906b5675
imagenes/iconos-lucide/Trash2.svg,"Vector SVG 24×24, escalable",441,Sí: sin fondo,app/page.tsx: <Trash2 size={15}/; components/game/evidence.tsx: <Trash2 size={16}/,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",c605c57ead265582b8ecff15e7d9ac677860852029a94600a06b5ce40cc74a01
imagenes/iconos-lucide/Trophy.svg,"Vector SVG 24×24, escalable",593,Sí: sin fondo,Importado; uso dinámico o import sin uso directo,Ver size en usos JSX anteriores; CSS del contexto puede sobrescribirlo,"lucide-react instalado, exportado en esta entrega","No aplica: icono de biblioteca, no generado por IA",d9a37ea8a0a3fe06306fb2a393c3528d5ef24c624230bdb2bf93c401ad9a5588
